"Step","spotify-RLSum_LO - utility","spotify-RLSum_LO - utility__MIN","spotify-RLSum_LO - utility__MAX","spotify-RLSum_HI - utility","spotify-RLSum_HI - utility__MIN","spotify-RLSum_HI - utility__MAX","spotify-RLSum_BL - utility","spotify-RLSum_BL - utility__MIN","spotify-RLSum_BL - utility__MAX","spotify-RLSum_DC - utility","spotify-RLSum_DC - utility__MIN","spotify-RLSum_DC - utility__MAX","spotify-RLSum_IC - utility","spotify-RLSum_IC - utility__MIN","spotify-RLSum_IC - utility__MAX"
"52","8.202845826401063","8.202845826401063","8.202845826401063","11.522728833058563","11.522728833058563","11.522728833058563","10.42152573116341","10.42152573116341","10.42152573116341","8.298950791127695","8.298950791127695","8.298950791127695","13.022695605663074","13.022695605663074","13.022695605663074"
"53","14.044182271531739","14.044182271531739","14.044182271531739","9.450915697178411","9.450915697178411","9.450915697178411","-1.5238647423543408","-1.5238647423543408","-1.5238647423543408","8.821950420140663","8.821950420140663","8.821950420140663","8.64331563162655","8.64331563162655","8.64331563162655"
"54","11.392861015169252","11.392861015169252","11.392861015169252","2.153263610376674","2.153263610376674","2.153263610376674","7.6292183258083135","7.6292183258083135","7.6292183258083135","8.166764943294586","8.166764943294586","8.166764943294586","11.014921401714824","11.014921401714824","11.014921401714824"
"55","22.93010521026348","22.93010521026348","22.93010521026348","4.070094590876682","4.070094590876682","4.070094590876682","7.071464537495173","7.071464537495173","7.071464537495173","8.941308998526557","8.941308998526557","8.941308998526557","10.067734916962937","10.067734916962937","10.067734916962937"
"56","12.494633227071684","12.494633227071684","12.494633227071684","0.18866599010897","0.18866599010897","0.18866599010897","7.006439978724174","7.006439978724174","7.006439978724174","8.789895416708257","8.789895416708257","8.789895416708257","11.556202073770239","11.556202073770239","11.556202073770239"
"57","11.366066431760036","11.366066431760036","11.366066431760036","7.752922857566473","7.752922857566473","7.752922857566473","8.107516969760006","8.107516969760006","8.107516969760006","9.171475973574891","9.171475973574891","9.171475973574891","9.652679179679003","9.652679179679003","9.652679179679003"
"58","9.867957193448655","9.867957193448655","9.867957193448655","12.669743311468027","12.669743311468027","12.669743311468027","2.6035139383990424","2.6035139383990424","2.6035139383990424","10.421365914512128","10.421365914512128","10.421365914512128","10.922033226602451","10.922033226602451","10.922033226602451"
"59","14.802302312885836","14.802302312885836","14.802302312885836","4.863527988523051","4.863527988523051","4.863527988523051","3.4094764483740967","3.4094764483740967","3.4094764483740967","8.716375152702799","8.716375152702799","8.716375152702799","13.91918288770339","13.91918288770339","13.91918288770339"
"60","17.084900446656516","17.084900446656516","17.084900446656516","7.027621358545733","7.027621358545733","7.027621358545733","16.18796424847355","16.18796424847355","16.18796424847355","9.405726954599837","9.405726954599837","9.405726954599837","10.54744102944612","10.54744102944612","10.54744102944612"
"61","14.193255165685551","14.193255165685551","14.193255165685551","8.82483555887183","8.82483555887183","8.82483555887183","16.862284991207478","16.862284991207478","16.862284991207478","10.640781767701888","10.640781767701888","10.640781767701888","11.551692375509695","11.551692375509695","11.551692375509695"
"62","8.733375236244475","8.733375236244475","8.733375236244475","4.225485285162506","4.225485285162506","4.225485285162506","4.988271232924413","4.988271232924413","4.988271232924413","7.7639292848132","7.7639292848132","7.7639292848132","15.85107864265945","15.85107864265945","15.85107864265945"
"63","16.383631685628398","16.383631685628398","16.383631685628398","10.434898206893648","10.434898206893648","10.434898206893648","5.287047899647575","5.287047899647575","5.287047899647575","8.499672946065422","8.499672946065422","8.499672946065422","11.888268209823398","11.888268209823398","11.888268209823398"
"64","12.024525738823305","12.024525738823305","12.024525738823305","5.198568120142703","5.198568120142703","5.198568120142703","8.425415956146168","8.425415956146168","8.425415956146168","8.756034167424094","8.756034167424094","8.756034167424094","10.08973049064247","10.08973049064247","10.08973049064247"
"65","8.249131159111945","8.249131159111945","8.249131159111945","9.91423155840855","9.91423155840855","9.91423155840855","6.198479676121594","6.198479676121594","6.198479676121594","9.08901089563266","9.08901089563266","9.08901089563266","11.072523857640094","11.072523857640094","11.072523857640094"
"66","12.902469303311934","12.902469303311934","12.902469303311934","9.886940414438877","9.886940414438877","9.886940414438877","3.921969874277532","3.921969874277532","3.921969874277532","8.615241179211502","8.615241179211502","8.615241179211502","14.746120670708104","14.746120670708104","14.746120670708104"
"67","15.393357308292009","15.393357308292009","15.393357308292009","2.33289227149048","2.33289227149048","2.33289227149048","11.845119673312556","11.845119673312556","11.845119673312556","6.488218385849343","6.488218385849343","6.488218385849343","14.348870181904791","14.348870181904791","14.348870181904791"
"68","10.670099859178897","10.670099859178897","10.670099859178897","7.426120144157792","7.426120144157792","7.426120144157792","6.860210506118274","6.860210506118274","6.860210506118274","7.978130559275903","7.978130559275903","7.978130559275903","10.712127911551214","10.712127911551214","10.712127911551214"
"69","13.27251977621918","13.27251977621918","13.27251977621918","13.57161362186699","13.57161362186699","13.57161362186699","13.751597823309067","13.751597823309067","13.751597823309067","9.698021038361127","9.698021038361127","9.698021038361127","9.695945206746476","9.695945206746476","9.695945206746476"
"70","13.488454444355817","13.488454444355817","13.488454444355817","13.503522603779697","13.503522603779697","13.503522603779697","6.012258572657343","6.012258572657343","6.012258572657343","9.056637315772683","9.056637315772683","9.056637315772683","13.763055865802658","13.763055865802658","13.763055865802658"
"71","11.527740609933153","11.527740609933153","11.527740609933153","14.672841738938674","14.672841738938674","14.672841738938674","10.555880823086804","10.555880823086804","10.555880823086804","9.083209451509498","9.083209451509498","9.083209451509498","15.026438972635379","15.026438972635379","15.026438972635379"
"72","11.980999379359794","11.980999379359794","11.980999379359794","9.69987191544311","9.69987191544311","9.69987191544311","5.049554204560525","5.049554204560525","5.049554204560525","9.526224945312181","9.526224945312181","9.526224945312181","10.487292454068639","10.487292454068639","10.487292454068639"
"73","10.144768708794633","10.144768708794633","10.144768708794633","12.800076551300789","12.800076551300789","12.800076551300789","6.320665755196419","6.320665755196419","6.320665755196419","7.900648650228801","7.900648650228801","7.900648650228801","15.865477114600504","15.865477114600504","15.865477114600504"
"74","13.949011747800458","13.949011747800458","13.949011747800458","7.991098177480032","7.991098177480032","7.991098177480032","12.371328947318371","12.371328947318371","12.371328947318371","8.11477767713275","8.11477767713275","8.11477767713275","18.593432307337693","18.593432307337693","18.593432307337693"
"75","5.23318672154101","5.23318672154101","5.23318672154101","8.85574659222895","8.85574659222895","8.85574659222895","20.386179404709353","20.386179404709353","20.386179404709353","10.338991396500981","10.338991396500981","10.338991396500981","11.966378917756737","11.966378917756737","11.966378917756737"
"76","12.803785786449852","12.803785786449852","12.803785786449852","10.356469896313964","10.356469896313964","10.356469896313964","8.245158544594902","8.245158544594902","8.245158544594902","8.27827158724398","8.27827158724398","8.27827158724398","6.123733455482133","6.123733455482133","6.123733455482133"
"77","7.615866134310707","7.615866134310707","7.615866134310707","10.165797519920588","10.165797519920588","10.165797519920588","8.881419998385084","8.881419998385084","8.881419998385084","8.062994818932793","8.062994818932793","8.062994818932793","9.127831268112594","9.127831268112594","9.127831268112594"
"78","3.9186184507347486","3.9186184507347486","3.9186184507347486","8.826557821321192","8.826557821321192","8.826557821321192","8.322579926314914","8.322579926314914","8.322579926314914","9.015636572487226","9.015636572487226","9.015636572487226","1.5094163530946","1.5094163530946","1.5094163530946"
"79","7.283973092855948","7.283973092855948","7.283973092855948","16.859043494481732","16.859043494481732","16.859043494481732","7.028925470614149","7.028925470614149","7.028925470614149","9.842894470962145","9.842894470962145","9.842894470962145","1.0969721589012433","1.0969721589012433","1.0969721589012433"
"80","1.465516204445561","1.465516204445561","1.465516204445561","17.248595026863878","17.248595026863878","17.248595026863878","6.045757398498409","6.045757398498409","6.045757398498409","7.273977193191167","7.273977193191167","7.273977193191167","9.04932131927953","9.04932131927953","9.04932131927953"
"81","5.917045761510309","5.917045761510309","5.917045761510309","9.647660923236415","9.647660923236415","9.647660923236415","10.126094833253791","10.126094833253791","10.126094833253791","8.6981535694","8.6981535694","8.6981535694","7.1932090531866075","7.1932090531866075","7.1932090531866075"
"82","0","0","0","7.641787819126376","7.641787819126376","7.641787819126376","20.58263181856134","20.58263181856134","20.58263181856134","8.220496907812123","8.220496907812123","8.220496907812123","8.862766565826089","8.862766565826089","8.862766565826089"
"83","8.886902108125105","8.886902108125105","8.886902108125105","16.35926079198177","16.35926079198177","16.35926079198177","12.227686582739379","12.227686582739379","12.227686582739379","9.40718654185132","9.40718654185132","9.40718654185132","9.46312209225105","9.46312209225105","9.46312209225105"
"84","1.56398025158015","1.56398025158015","1.56398025158015","10.751389526395156","10.751389526395156","10.751389526395156","17.62347021961544","17.62347021961544","17.62347021961544","9.411217152489277","9.411217152489277","9.411217152489277","10.010983625948363","10.010983625948363","10.010983625948363"
"85","9.283533204371498","9.283533204371498","9.283533204371498","5.946462756236735","5.946462756236735","5.946462756236735","12.677731013089138","12.677731013089138","12.677731013089138","9.569034963707757","9.569034963707757","9.569034963707757","12.153736790853277","12.153736790853277","12.153736790853277"
"86","0","0","0","13.183996647476748","13.183996647476748","13.183996647476748","10.464907984423116","10.464907984423116","10.464907984423116","8.775707050822927","8.775707050822927","8.775707050822927","10.600487650709674","10.600487650709674","10.600487650709674"
"87","2.7970982270148697","2.7970982270148697","2.7970982270148697","16.0989484838493","16.0989484838493","16.0989484838493","15.037235994656434","15.037235994656434","15.037235994656434","7.2145372858636385","7.2145372858636385","7.2145372858636385","15.441132460386346","15.441132460386346","15.441132460386346"
"88","0","0","0","8.422614286639572","8.422614286639572","8.422614286639572","18.86331957307841","18.86331957307841","18.86331957307841","4.280650280665036","4.280650280665036","4.280650280665036","6.1194508818572295","6.1194508818572295","6.1194508818572295"
"89","0","0","0","12.285374871825063","12.285374871825063","12.285374871825063","11.51275882892668","11.51275882892668","11.51275882892668","8.774745024681524","8.774745024681524","8.774745024681524","15.5861368828937","15.5861368828937","15.5861368828937"
"90","0","0","0","16.837179617867093","16.837179617867093","16.837179617867093","10.711767039967793","10.711767039967793","10.711767039967793","8.722157969569123","8.722157969569123","8.722157969569123","9.834764966028803","9.834764966028803","9.834764966028803"
"91","1.4596498875391792","1.4596498875391792","1.4596498875391792","7.442934912513864","7.442934912513864","7.442934912513864","11.915913562997817","11.915913562997817","11.915913562997817","9.236606824313412","9.236606824313412","9.236606824313412","18.80642443559127","18.80642443559127","18.80642443559127"
"92","0.6210689671089941","0.6210689671089941","0.6210689671089941","15.98420241930098","15.98420241930098","15.98420241930098","17.43136464034591","17.43136464034591","17.43136464034591","9.053933309420112","9.053933309420112","9.053933309420112","15.005756653794153","15.005756653794153","15.005756653794153"
"93","3.6503451212364957","3.6503451212364957","3.6503451212364957","8.762661130708652","8.762661130708652","8.762661130708652","15.430097727763052","15.430097727763052","15.430097727763052","9.05891634068702","9.05891634068702","9.05891634068702","14.631700285243006","14.631700285243006","14.631700285243006"
"94","2.1361383145866917","2.1361383145866917","2.1361383145866917","13.465447429111084","13.465447429111084","13.465447429111084","15.406783025069135","15.406783025069135","15.406783025069135","10.283048796034851","10.283048796034851","10.283048796034851","12.215080016273712","12.215080016273712","12.215080016273712"
"95","8.619124119125834","8.619124119125834","8.619124119125834","3.671415452906574","3.671415452906574","3.671415452906574","16.48138270598735","16.48138270598735","16.48138270598735","8.450979039939584","8.450979039939584","8.450979039939584","14.422721908289715","14.422721908289715","14.422721908289715"
